Cluster Index	Location Label
cluster_00479.vtp	h
cluster_00480.vtp	h
cluster_00481.vtp	h
cluster_00482.vtp	h
cluster_00483.vtp	h
cluster_00484.vtp	h
cluster_00485.vtp	c
cluster_00486.vtp	c
cluster_00487.vtp	h
cluster_00488.vtp	h
cluster_00489.vtp	c
cluster_00490.vtp	h
cluster_00491.vtp	h
cluster_00492.vtp	h
cluster_00493.vtp	h
cluster_00494.vtp	h
cluster_00495.vtp	h
cluster_00496.vtp	h
cluster_00497.vtp	h
cluster_00498.vtp	h
cluster_00499.vtp	h
cluster_00500.vtp	h
cluster_00501.vtp	h
cluster_00502.vtp	h
cluster_00503.vtp	h
cluster_00504.vtp	h
cluster_00505.vtp	h
cluster_00506.vtp	h
cluster_00507.vtp	h
cluster_00508.vtp	h
cluster_00509.vtp	h
cluster_00510.vtp	h
cluster_00511.vtp	h
cluster_00512.vtp	h
cluster_00513.vtp	h
cluster_00514.vtp	h
cluster_00515.vtp	h
cluster_00516.vtp	h
cluster_00517.vtp	h
cluster_00518.vtp	h
cluster_00519.vtp	h
cluster_00520.vtp	c
cluster_00521.vtp	h
cluster_00522.vtp	h
cluster_00523.vtp	c
cluster_00524.vtp	h
cluster_00525.vtp	h
cluster_00526.vtp	c
cluster_00527.vtp	h
cluster_00528.vtp	h
cluster_00529.vtp	h
cluster_00530.vtp	h
cluster_00531.vtp	h
cluster_00532.vtp	h
cluster_00533.vtp	h
cluster_00534.vtp	h
cluster_00535.vtp	h
cluster_00536.vtp	h
cluster_00537.vtp	h
cluster_00538.vtp	h
cluster_00539.vtp	h
cluster_00540.vtp	h
cluster_00541.vtp	h
cluster_00542.vtp	h
cluster_00543.vtp	h
cluster_00544.vtp	c
cluster_00545.vtp	h
cluster_00546.vtp	c
cluster_00547.vtp	h
cluster_00548.vtp	h
cluster_00549.vtp	h
cluster_00550.vtp	c
cluster_00551.vtp	h
cluster_00552.vtp	h
cluster_00553.vtp	h
cluster_00554.vtp	h
cluster_00555.vtp	h
cluster_00556.vtp	h
cluster_00557.vtp	h
cluster_00558.vtp	c
cluster_00559.vtp	h
cluster_00560.vtp	h
cluster_00561.vtp	h
cluster_00562.vtp	h
cluster_00563.vtp	h
cluster_00564.vtp	h
cluster_00565.vtp	h
cluster_00566.vtp	h
cluster_00567.vtp	h
cluster_00568.vtp	h
cluster_00569.vtp	h
cluster_00570.vtp	h
cluster_00571.vtp	h
cluster_00572.vtp	h
cluster_00573.vtp	h
cluster_00574.vtp	h
cluster_00575.vtp	h
cluster_00576.vtp	h
cluster_00577.vtp	c
cluster_00578.vtp	c
